label,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100
7,2165,2590,2206,955,18,17,17,17,17,16,18,19,17,1934,3168,2648,593,17,17,19,18,19,18,18,18,18,988,3182,3082,2650,2186,19,18,18,18,16,17,930,437,151,715,2568,2836,2154,1374,19,18,17,19,18,17,18,395,27,17,18,278,1579,1859,335,17,17,18,17,16,19,122,472,1212,2084,2640,2166,294,18,18,18,84,2360,2894,2162,26,18,17,18,19,18,19,17,18,17,18,520,1830,2502,2106,954,19,18,18,17
7,3336,3298,3128,2027,15,12,15,18,17,17,477,22,18,962,3150,3064,3000,2378,19,18,19,17,1348,2975,1612,18,699,3306,3166,2978,2378,19,15,15,16,17,18,502,2668,2005,18,18,18,408,1495,1075,18,17,18,18,17,18,330,2733,3094,3042,2866,2179,27,17,19,18,1091,3138,2813,1351,18,18,17,17,18,17,17,17,16,17,349,1599,2200,1144,18,18,18,16,17,970,3080,2952,2684,2498,2606,2632,2382,1292,18,17,18,18,17,24
7,2158,2686,1928,71,18,17,18,18,260,3106,2035,941,16,17,18,19,18,17,18,18,18,18,1178,3050,2670,2557,578,18,18,18,1037,3050,1643,163,562,2364,2984,2222,589,17,17,17,18,18,18,162,1470,1218,17,17,17,18,17,18,18,17,17,16,17,16,17,29,1064,3034,2974,2827,1705,18,18,17,18,17,1018,2264,1464,16,17,17,17,17,18,18,17,17,17,18,17,275,890,534,18,18,19,18,17,447,2244,2626,2120,1646
7,1499,2938,2862,2410,645,18,18,19,19,18,18,18,18,17,19,734,1819,2302,1804,506,17,17,18,688,2162,2776,2758,2802,2658,2626,2659,2475,1731,25,17,18,18,18,18,18,19,18,18,18,17,16,18,237,347,18,17,16,17,18,17,116,1971,2958,2912,2751,2408,1846,1412,1366,1391,1131,638,186,17,18,16,16,17,18,18,17,17,17,16,18,17,17,18,18,18,18,18,30,1194,2386,2504,2292,2304,2635,2778,2626,2130,1001,18,17
7,2276,2673,2104,669,17,17,18,18,16,18,17,17,18,17,18,117,254,23,17,16,16,17,233,3162,2710,2690,1132,18,18,18,18,17,17,18,19,18,18,18,18,17,18,18,18,18,17,28,2378,2610,2064,2154,2714,2626,1512,155,17,17,16,17,17,22,154,140,17,17,17,17,200,664,18,17,17,18,18,17,16,16,18,16,27,974,1746,1888,842,18,16,17,16,17,34,1238,1848,1446,967,709,406,92,88,365,518,288
7,2960,2839,2227,19,18,17,18,18,17,17,17,17,18,18,700,1730,2142,1428,19,18,17,18,243,1963,2580,2458,2614,2520,2822,2862,2466,983,18,18,18,18,17,16,17,18,18,17,18,17,18,316,521,138,18,17,18,18,18,28,596,1418,2819,2982,2708,1944,475,17,17,26,774,1291,980,260,17,18,18,18,18,18,18,18,16,16,17,16,18,17,17,18,18,17,16,151,1380,2162,2047,1790,2130,2842,2831,2442,1392,18,18,19
0,2866,2286,332,151,607,911,2734,1219,206,135,123,124,1326,2342,1746,598,214,142,134,2492,1795,232,146,133,134,1146,261,147,133,131,132,348,1742,1228,732,233,142,132,1282,1538,337,154,136,2047,2248,839,222,144,124,124,121,122,120,120,687,1320,1888,2152,1865,365,154,133,286,1409,1818,1274,744,200,133,127,128,125,130,126,128,123,522,1235,538,170,126,275,1792,2042,1488,463,162,131,126,196,622,403,156,131,128,126,130,129,126,128
1,3574,19,19,16,19,14,3130,1947,922,523,14,18,17,515,2863,3144,2868,1846,18,17,2577,2995,1282,18,18,18,1843,2968,1739,199,17,18,17,18,691,18,18,17,15,16,18,29,1968,1631,290,17,21,3102,2890,2148,1206,19,16,17,18,18,18,18,18,18,16,17,539,2746,2764,2030,937,29,18,18,30,769,1808,1930,735,18,17,18,18,18,18,18,17,18,19,367,642,19,18,18,18,1668,2898,2438,1435,473,636,1791,2864,2699
2,2915,2632,1238,531,194,144,454,2257,1739,1862,1594,597,2308,2530,1809,1104,233,154,138,599,2564,2476,366,156,132,994,2184,1822,1288,250,149,135,131,323,2043,2067,438,170,137,1322,1214,224,144,274,664,214,144,131,130,478,1670,2222,1339,226,143,128,125,2194,2504,1431,250,152,136,131,132,132,228,1467,1682,537,203,151,138,140,138,132,134,558,1644,1795,962,293,196,1050,1555,1045,252,157,142,138,136,175,678,686,809,696,353,157,134,128
3,3370,3400,2767,19,16,17,16,17,16,18,17,17,17,16,26,2264,2479,2018,886,18,17,16,17,1490,3190,18,17,17,17,2704,2972,2302,978,18,17,18,17,17,17,634,1454,18,16,16,17,539,25,16,16,16,16,18,16,17,17,25,978,1746,2282,2590,1490,18,16,16,16,530,2928,2762,1500,17,16,18,17,18,17,16,16,17,16,16,16,338,649,302,16,16,17,16,17,778,2547,2384,1955,1573,2227,2418,2090,989,18,17
4,1915,2267,1912,366,161,135,129,122,760,1851,1808,678,191,134,123,126,384,1354,1994,2050,2014,1731,1469,1218,1135,2024,2304,1954,372,170,140,132,128,575,1216,890,230,137,126,122,123,314,550,854,1530,2202,2298,1954,1080,264,153,134,134,129,134,132,129,129,129,435,597,407,169,160,635,1294,1608,1427,1046,683,362,161,138,133,128,130,130,124,123,121,119,121,122,1072,2106,2272,2009,1456,1026,956,1224,1555,1453,732,206,143,130,126,126,128
5,2438,2632,2072,371,155,134,131,2550,2800,2518,2623,2106,399,167,133,125,2410,2830,2710,2326,650,190,137,126,128,158,914,1034,1236,2371,2416,1815,352,157,132,128,124,128,122,125,128,124,126,128,747,1318,342,151,125,123,127,124,124,128,126,259,722,882,907,854,700,313,152,134,468,1416,1979,2066,2214,1901,512,178,135,129,619,1640,1754,1003,208,139,135,133,134,1977,2509,2390,1779,390,155,130,123,124,1190,2394,2330,1602,279,149,130,128
6,1272,1971,1712,899,262,27,245,308,23,16,16,16,17,17,17,17,17,17,17,17,17,16,17,230,370,293,172,107,457,992,1566,1704,1449,1112,766,400,74,27,63,48,23,18,17,17,24,115,247,254,334,358,206,24,17,18,18,18,24,239,305,44,18,18,18,17,20,270,590,548,339,256,436,731,877,760,475,193,26,17,16,17,16,16,18,23,25,18,17,17,17,18,17,18,20,27,289,804,1352,1715,1624,1212
