label,dom_freq,sum_E,decay_rate,spec_ent
6,66360,109448528,-865.7999999999997,4.205359507226098
6,66360,113962575,-944.2,4.123044567365736
6,82950,104003834,-856.8999999999999,4.201342398342653
6,66360,110641760,-935.8999999999997,4.13272776644883
6,66360,120126405,-752.1999999999999,4.271414056460074
6,66360,99688460,-880.2999999999997,4.162889799459031
6,66360,161371624,-932.8000000000002,4.277184335854806
6,82950,206985257,-1069.3000000000004,4.471199508049361
6,82950,237999023,-1020.1999999999999,4.486366274609162
6,33180,114393442,-697.5000000000001,4.135052445934913
6,71890,184201215,-785.1999999999996,4.453336503213427
7,71890,269392569,-873.6000000000001,4.494728145397536
7,66360,234158096,-973.1999999999995,4.35406702825963
7,71890,295847444,-957.4000000000002,4.423728551321783
7,82950,314955974,-1003.9000000000001,4.417943404458304
7,77420,272760998,-991.3000000000002,4.394507710662342
7,82950,276142915,-854.6999999999996,4.480786340699581
7,82950,326004702,-1046.5000000000002,4.463046209965249
7,82950,337340148,-1033.8999999999999,4.407064516393494
7,77420,280944806,-1014.9999999999997,4.452131650138535
7,71890,305853977,-882.0999999999999,4.411530364303382
7,77420,265448792,-1008.2000000000002,4.355946143342158
7,66360,224753637,-1004.2000000000003,4.365352299269843
7,77420,256263278,-947.5999999999999,4.405824412393731
7,71890,297480642,-850.8000000000001,4.405200283422244
7,77420,260212766,-1027.8,4.386226186715439
7,66360,275160978,-984.6999999999999,4.4477639594671325
7,66360,252652018,-998.9999999999998,4.386068952569952
7,66360,234181288,-1067.3000000000002,4.3544216275146725
7,77420,281095689,-1013.6000000000001,4.423928164644524
7,77420,263021377,-815.0999999999997,4.408736543933203
8,94010,148596903,-1317.5,3.7907415707134997
8,11060,125240414,-1268.0000000000005,3.705889695786623
8,27650,94010217,-778.0000000000002,3.6418551275231135
8,44240,120209859,-747.5000000000002,3.88930159175629
8,27650,102224966,-915.0,3.6745355071546957
8,38710,117149365,-908.4999999999999,3.9094025235128793
8,44240,100200453,-756.0000000000001,3.73914785944424
8,27650,102592223,-897.5000000000001,3.6418334003818966
8,11060,117675461,-1013.9999999999999,3.676755794776311
8,44240,96955656,-678.5000000000001,3.725908681857049
8,44240,123344483,-544.1999999999997,3.9207634349218123
8,44240,110377910,-754.0000000000001,3.812820438643068
8,11060,119186992,-983.5000000000002,3.746663695296659
8,27650,105195441,-627.0,3.67778569825008
8,44240,91297271,-658.0000000000005,3.6572147831885546
8,44240,99521017,-716.9999999999999,3.696563594626053
8,27650,103740957,-905.0000000000001,3.664301155735182
8,11060,137385215,-1431.0000000000002,3.77123706607541
8,94010,145468878,-1417.0,3.7936510629878857
8,27650,100251772,-777.5,3.7201725164669046
0,143780,223601839,-3185.9999999999995,4.160758287136212
0,143780,203277176,-1395.0,4.1841870399946375
1,143780,248389395,-3961.9999999999995,4.112534046773491
1,143780,247217023,-4002.0,4.108147055495088
2,82950,190228572,-1290.3,4.321413891566075
2,82950,206811040,-1272.3999999999999,4.337106710795458
3,110600,282110122,-1187.5,4.2832898813320055
3,149310,248865351,-2003.5000000000005,4.385906767206302
